"Name","ResourceType","ResourceGroupName","Location","SubscriptionId","Sku","Kind","Tags","ResourceId"
"vm-nwri-src-jpe_OsDisk_1_cb8a7c294776415f9732b629726f07f6","Microsoft.Compute/disks","RG-NWRI-JPE-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc","Standard_LRS",,"purpose=demo;owner=csa;demoTheme=network-watcher-rule-impact;createdBy=GitHubCopilotBrowserAutomation;deleteAfter=2026-07-31","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-NWRI-JPE-20260709/providers/Microsoft.Compute/disks/vm-nwri-src-jpe_OsDisk_1_cb8a7c294776415f9732b629726f07f6"
"vm-nwri-dst-jpe/rule-impact-destination-setup","Microsoft.Compute/virtualMachines/extensions","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Compute/virtualMachines/vm-nwri-dst-jpe/extensions/rule-impact-destination-setup"
"law-nwri-jpe-lkb2l5f6fuhds","Microsoft.OperationalInsights/workspaces","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"purpose=demo;owner=csa;demoTheme=network-watcher-rule-impact;createdBy=GitHubCopilotBrowserAutomation;deleteAfter=2026-07-31","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.OperationalInsights/workspaces/law-nwri-jpe-lkb2l5f6fuhds"
"vm-nwri-src-jpe/rule-impact-source-setup","Microsoft.Compute/virtualMachines/extensions","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Compute/virtualMachines/vm-nwri-src-jpe/extensions/rule-impact-source-setup"
"NetworkWatcher_japaneast/fl-nwri-vnet-jpe","Microsoft.Network/networkWatchers/flowLogs","NetworkWatcherRG","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"purpose=demo;owner=csa;demoTheme=network-watcher-rule-impact;createdBy=GitHubCopilotBrowserAutomation;deleteAfter=2026-07-31","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_japaneast/flowLogs/fl-nwri-vnet-jpe"
"NWTA-430bd44b-0036-437c-9fd9-7f0405IFTZ84","Microsoft.Insights/dataCollectionEndpoints","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Insights/dataCollectionEndpoints/NWTA-430bd44b-0036-437c-9fd9-7f0405IFTZ84"
"NWTA-430bd44b-0036-437c-9fd9-7f04059af0004FF8I6","Microsoft.Insights/dataCollectionRules","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Insights/dataCollectionRules/NWTA-430bd44b-0036-437c-9fd9-7f04059af0004FF8I6"
"vm-nwri-dst-jpe/MDE.Linux","Microsoft.Compute/virtualMachines/extensions","RG-NWRI-JPE-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-NWRI-JPE-20260709/providers/Microsoft.Compute/virtualMachines/vm-nwri-dst-jpe/extensions/MDE.Linux"
"vm-nwri-src-jpe/MDE.Linux","Microsoft.Compute/virtualMachines/extensions","RG-NWRI-JPE-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-NWRI-JPE-20260709/providers/Microsoft.Compute/virtualMachines/vm-nwri-src-jpe/extensions/MDE.Linux"
"nwrilkb2l5f6fuhds-b76efd16-f2b5-4e7b-8843-59b265acf065","Microsoft.EventGrid/systemTopics","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.EventGrid/systemTopics/nwrilkb2l5f6fuhds-b76efd16-f2b5-4e7b-8843-59b265acf065"
